problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count
Q3,22,2026091221,16,16,True,197.80743961129565,3164.9190337807304,3.0896782000054372,92
Q3,23,2026091222,13,13,True,253.86146253366712,3300.1990129376727,3.744364099999075,122
Q3,24,2026091223,11,11,True,287.23370069089543,3159.57070759985,1.9727011999930255,120
Q3,25,2026091224,12,12,True,275.09110746444463,3301.093289573336,2.036611300005461,125
Q3,26,2026091225,15,15,True,226.38885397249769,3395.8328095874654,4.087328499997966,126
Q3,27,2026091226,12,12,True,277.76901420493135,3333.2281704591765,4.078667699999642,148
Q3,28,2026091227,15,15,True,222.1546194685847,3332.3192920287706,2.298487699998077,108
Q3,29,2026091228,14,14,True,228.5820247359186,3200.1483463028603,3.012262999996892,114
Q3,30,2026091229,15,15,True,216.76397941246057,3251.4596911869085,3.2406326000054833,103
Q3,31,2026091230,16,16,True,237.0212629561647,3792.340207298635,4.289694999999483,120
Q3,32,2026091231,10,10,True,346.64958387035034,3466.4958387035035,3.430018699989887,134
Q3,33,2026091232,13,13,True,261.0080642835368,3393.1048356859783,2.895817500000703,116
Q3,34,2026091233,10,10,True,321.0408756577852,3210.408756577852,2.697272299992619,133
Q3,35,2026091234,11,11,True,250.67633674298852,2757.439704172874,2.604799099994125,123
Q3,36,2026091235,12,12,True,260.52343147408857,3126.2811776890626,3.0420340999990003,130
Q3,37,2026091236,15,15,True,220.40443117852973,3306.066467677946,3.3902872999897227,117
Q3,38,2026091237,10,10,True,303.0559895969953,3030.559895969953,2.604286099987803,137
Q3,39,2026091238,11,11,True,259.65088387621654,2856.159722638382,2.3575927000056254,125
Q3,40,2026091239,13,13,True,268.5548982925084,3491.2136778026093,3.2710054000053788,131
Q3,41,2026091240,10,10,True,371.8275706876728,3718.275706876728,2.6841530999954557,146
Q3,42,2026091241,13,13,True,261.33868828943804,3397.4029477626946,3.7963314000080572,126
Q3,43,2026091242,16,16,True,247.962099942104,3967.393599073664,4.621253499994054,104
Q3,44,2026091243,11,11,True,253.67471111012608,2790.421822211387,2.8724419999925885,118
Q3,45,2026091244,15,15,True,231.16617309664824,3467.4925964497234,3.3879869999946095,122
Q3,46,2026091245,14,14,True,227.1280321777303,3179.792450488224,3.2806783999985782,114
Q3,47,2026091246,13,13,True,243.7013461105078,3168.1174994366015,3.20597729999281,125
Q3,48,2026091247,16,16,True,215.65212757745178,3450.4340412392285,2.828447199994116,105
Q3,49,2026091248,13,13,True,268.9187652918468,3495.9439487940085,3.2983201000024565,119
Q3,50,2026091249,10,10,True,311.3448805847837,3113.4488058478373,1.8756014999962645,136
Q3,51,2026091250,12,12,True,294.4439355662376,3533.327226794851,3.7119489000033354,139
Q3,52,2026091251,15,15,True,208.32686762835513,3124.903014425327,3.066403899996658,99
Q3,53,2026091252,10,10,True,327.0948309571908,3270.9483095719083,2.626359699992463,136
Q3,54,2026091253,15,15,True,190.1361662577441,2852.0424938661613,3.0362022000044817,99
Q3,55,2026091254,11,11,True,251.17934647397354,2762.972811213709,2.237132100010058,119
Q3,56,2026091255,15,15,True,234.89144538685665,3523.37168080285,4.392910899987328,122
Q3,57,2026091256,13,13,True,281.70116172400196,3662.1151024120254,3.7179090999998152,121
Q3,58,2026091257,11,11,True,285.3007771806441,3138.308548987085,2.871999399998458,129
Q3,59,2026091258,13,13,True,293.07315196471006,3809.9509755412305,4.28367389999039,143
Q3,60,2026091259,15,15,True,230.335717701288,3455.0357655193197,5.099632299999939,115
Q3,61,2026091260,13,13,True,249.9223414563852,3248.9904389330077,3.696778899990022,122
Q3,62,2026091261,11,11,True,277.01067507256533,3047.1174257982184,2.1687028000014834,134
Q3,63,2026091262,16,16,True,238.54528448347273,3816.7245517355636,4.2007033999980194,116
Q3,64,2026091263,10,10,True,315.1707927784952,3151.7079277849516,2.4688881000038236,134
Q3,65,2026091264,14,14,True,220.46842225493103,3086.5579115690343,2.4937223000015365,118
Q3,66,2026091265,12,12,True,300.88098766699517,3610.571852003942,4.162616699992213,134
Q3,67,2026091266,12,12,True,284.97790156057334,3419.73481872688,4.066205200011609,132
Q3,68,2026091267,11,11,True,270.06208079253554,2970.682888717891,2.6538346000015736,128
Q3,69,2026091268,14,14,True,243.0733886898117,3403.027441657364,3.808923299991875,118
Q3,70,2026091269,11,11,True,275.94744815723203,3035.421929729552,1.9747461999941152,117
Q3,71,2026091270,11,11,True,261.66582942281707,2878.324123650988,2.7853888999961782,119
Q3,72,2026091271,12,12,True,242.66171810940946,2911.9406173129137,2.717815399999381,120
Q3,73,2026091272,15,15,True,261.8890369208691,3928.3355538130368,3.538683899998432,114
Q3,74,2026091273,10,10,True,265.2950813989051,2652.950813989051,1.8772402000031434,120
Q3,75,2026091274,10,10,True,320.00594971701355,3200.0594971701357,2.382420699999784,136
Q3,76,2026091275,12,12,True,265.0826461461525,3180.9917537538304,4.066598899997189,124
Q3,77,2026091276,16,16,True,215.71851454110939,3451.49623265775,2.9906342000031145,109
Q3,78,2026091277,12,12,True,236.5414056951528,2838.4968683418338,1.9261380999960238,119
Q3,79,2026091278,15,15,True,231.86000441027937,3477.9000661541904,5.347724599996582,106
Q3,80,2026091279,10,10,True,345.9724944533542,3459.7249445335424,3.894261800000095,139
Q3,81,2026091280,15,15,True,234.2968425419949,3514.4526381299233,4.219003599995631,114
Q3,82,2026091281,11,11,True,288.5018916437188,3173.520808080907,3.907481000002008,131
Q3,83,2026091282,15,15,True,245.52438734209355,3682.865810131403,4.546967899994343,122
Q3,84,2026091283,16,16,True,238.62138428882946,3817.9421486212714,6.037100200002897,123
Q3,85,2026091284,15,15,True,220.94723415986417,3314.2085123979623,2.2641943999915384,106
Q3,86,2026091285,15,15,True,207.2061187089031,3108.0917806335465,2.652518800008693,98
Q3,87,2026091286,11,11,True,249.4614860788708,2744.0763468675786,2.1649160999950254,122
Q3,88,2026091287,11,11,True,339.4889846701554,3734.3788313717096,3.0924966000020504,136
Q3,89,2026091288,12,12,True,262.7671475634043,3153.2057707608515,3.000086599990027,120
Q3,90,2026091289,14,14,True,229.26676794007267,3209.7347511610174,3.1225160000030883,102
Q3,91,2026091290,14,14,True,265.0055875758476,3710.078226061866,3.9033767000073567,114
Q3,92,2026091291,12,12,True,267.36695062902606,3208.4034075483128,2.488825300009921,118
Q3,93,2026091292,12,12,True,282.363882709301,3388.3665925116115,3.2396029000083217,132
Q3,94,2026091293,11,11,True,321.3425928341963,3534.7685211761595,3.9210687000013422,146
Q3,95,2026091294,15,15,True,291.09755646741127,4366.463347011169,4.964933799987193,128
Q3,96,2026091295,11,11,True,314.24109167396887,3456.6520084136573,3.2815248999977484,137
Q3,97,2026091296,15,15,True,203.55106879499957,3053.2660319249935,3.2871161000075517,99
Q3,98,2026091297,13,13,True,262.4250904755993,3411.526176182791,3.9782128000078956,112
Q3,99,2026091298,10,10,True,318.76358840371785,3187.6358840371786,4.019272899997304,142
Q3,100,2026091299,15,15,True,230.37999399519666,3455.6999099279496,4.322939400008181,113
Q3,101,2026091300,11,11,True,302.0862378038258,3322.9486158420837,4.247031199993216,126
Q3,102,2026091301,14,14,True,253.87967885318633,3554.3155039446087,3.542234799999278,112
Q3,103,2026091302,15,15,True,213.50020272632443,3202.5030408948664,3.4391337999986717,106
Q3,104,2026091303,11,11,True,295.40970489407306,3249.5067538348035,4.062262600011309,150
Q3,105,2026091304,13,13,True,256.2487328610924,3331.2335271942006,2.583141200011596,115
Q3,106,2026091305,12,12,True,240.96714481700295,2891.6057378040355,2.3606650000001537,129
Q3,107,2026091306,10,10,True,364.4678940442372,3644.678940442372,3.2231895000004442,143
Q3,108,2026091307,15,15,True,203.69692840726782,3055.453926109017,3.234822400001576,107
Q3,109,2026091308,13,13,True,233.62044029699544,3037.0657238609406,3.050395500002196,114
Q3,110,2026091309,13,13,True,251.7029590363312,3272.138467472306,4.00930750000407,111
Q3,111,2026091310,11,11,True,279.77812299293606,3077.559352922297,3.3727889000001596,135
Q3,112,2026091311,14,14,True,237.62946556283603,3326.8125178797045,3.5131540000002133,109
Q3,113,2026091312,15,15,True,235.8372697458623,3537.5590461879347,3.6470063000015216,108
Q3,114,2026091313,14,14,True,267.11691045200183,3739.6367463280258,3.786798999994062,123
Q3,115,2026091314,13,13,True,233.43726670132097,3034.6844671171725,2.6043436999898404,111
Q3,116,2026091315,11,11,True,280.44376074728507,3084.8813682201358,2.219538100005593,131
Q3,117,2026091316,12,12,True,293.2192353544406,3518.6308242532873,3.368046100003994,149
Q3,118,2026091317,11,11,True,284.71528788103956,3131.868166691435,1.8041211999952793,121
Q3,119,2026091318,10,10,True,293.7238062715785,2937.238062715785,3.269643699997687,133
