problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count,status,error,move_time_s,switch_time_s,measure_time_s,clear_action_time_s
Q4,144,2026091343,10,10,True,614.8625280944366,6148.625280944366,2.0926404060001005,285,complete,,4411.625280944367,259.0,1425.0,53.0
Q4,145,2026091344,16,16,True,389.5517968026965,6232.828748843144,4.852144257999953,201,complete,,4963.828748843144,178.0,1005.0,86.0
Q4,146,2026091345,13,13,True,466.3998041895604,6063.197454464285,1.9032973969999603,228,complete,,4621.197454464288,204.0,1140.0,98.0
Q4,147,2026091346,10,10,True,618.8099611607937,6188.099611607937,2.1603100110000923,280,complete,,4474.099611607936,258.0,1400.0,56.0
Q4,148,2026091347,16,16,True,390.7169853086191,6251.471764937905,3.5473399070001506,210,complete,,4911.471764937904,183.0,1050.0,107.0
Q4,149,2026091348,13,13,True,444.63499414949484,5780.254923943433,2.664183464999951,232,complete,,4328.254923943436,212.0,1160.0,80.0
Q4,150,2026091349,15,15,True,420.19172294440693,6302.875844166104,3.696738249999953,207,complete,,5018.875844166105,174.0,1035.0,75.0
Q4,151,2026091350,13,13,True,474.2546543225299,6165.310506192889,3.367236135999974,254,complete,,4592.310506192889,223.0,1270.0,80.0
Q4,152,2026091351,16,16,True,359.2585635980293,5748.137017568469,3.6484962700001233,201,complete,,4476.137017568467,175.0,1005.0,92.0
Q4,153,2026091352,15,15,True,434.0439786058939,6510.659679088409,2.004987884000002,193,complete,,5300.659679088409,164.0,965.0,81.0
Q4,154,2026091353,10,10,True,631.8797596302115,6318.797596302115,2.4889255329999287,293,complete,,4521.797596302118,267.0,1465.0,65.0
Q4,155,2026091354,11,11,True,546.3437347481648,6009.7810822298125,4.4404464919998645,248,complete,,4482.781082229814,226.0,1240.0,61.0
Q4,156,2026091355,12,12,True,496.6349596372366,5959.619515646839,2.8480430499998874,246,complete,,4438.619515646841,219.0,1230.0,72.0
Q4,157,2026091356,11,11,True,572.4547124917995,6297.001837409794,2.5910890580000796,291,complete,,4503.001837409793,266.0,1455.0,73.0
Q4,158,2026091357,15,15,True,407.8974469281709,6118.461703922563,2.3213974840000446,210,complete,,4809.461703922566,178.0,1050.0,81.0
Q4,159,2026091358,12,12,True,534.3914530480073,6412.697436576088,2.9612982870000906,233,complete,,4971.697436576088,210.0,1165.0,66.0
Q4,160,2026091359,15,15,True,403.250869288637,6048.763039329555,3.4652509159998317,192,complete,,4837.763039329557,164.0,960.0,87.0
Q4,161,2026091360,10,10,True,607.5210672324821,6075.210672324821,2.2251020050000534,269,complete,,4432.210672324825,248.0,1345.0,50.0
Q4,162,2026091361,13,13,True,470.2011111373999,6112.614444786199,3.049648998000066,247,complete,,4566.6144447862,225.0,1235.0,86.0
Q4,163,2026091362,10,10,True,632.2351887493774,6322.351887493774,1.1166980969999258,288,complete,,4569.3518874937745,263.0,1440.0,50.0
Q4,164,2026091363,16,16,True,352.81123805379383,5644.979808860701,3.1267920709999544,172,complete,,4550.979808860703,151.0,860.0,83.0
Q4,165,2026091364,16,16,True,387.8151485393282,6205.0423766292515,3.7255589700000655,223,complete,,4801.0423766292515,200.0,1115.0,89.0
Q4,166,2026091365,12,12,True,507.33355456690447,6088.002654802854,2.3026907319999737,247,complete,,4574.002654802856,219.0,1235.0,60.0
Q4,167,2026091366,10,10,True,596.5588501779363,5965.588501779363,1.8544488860000001,288,complete,,4206.588501779364,263.0,1440.0,56.0
Q4,168,2026091367,14,14,True,435.67133395612245,6099.398675385714,1.4894456360000277,224,complete,,4690.398675385716,207.0,1120.0,82.0
Q4,169,2026091368,15,15,True,402.1750184042689,6032.625276064034,3.1191579480000655,250,complete,,4465.625276064029,227.0,1250.0,90.0
Q4,170,2026091369,15,15,True,431.81543423485726,6477.231513522859,4.597020784999813,235,complete,,5008.23151352286,201.0,1175.0,93.0
