case,seed,true_total,cleared_count,clear_ratio,success,status,virtual_time_s,time_per_cleared_source_s,distance_m,measure_count,clear_attempts,failed_clear_attempts,program_runtime_s,mean_clear_distance_m,p95_clear_distance_m,mean_center_error_m,error_hit_rate_20m,error_hit_rate_50m,error_hit_rate_100m,probe_attempts,probe_successes,error,setting_id,parameter,setting_value
3,2026091302,15,15,1.0,True,complete,3304.8441133312417,220.32294088874946,12794.220566656208,106,29,14,4.405999999988126,13.568154607454062,19.504653489724415,8.892992197181446,1.0,1.0,1.0,18,4,,lookahead=0,lookahead,0.0
4,2026091303,11,11,1.0,True,complete,3269.791076313586,297.253734210326,11328.955381567926,151,28,17,4.296999999991385,14.309398773170374,19.448698666754318,7.5959420363908245,1.0,1.0,1.0,19,2,,lookahead=0,lookahead,0.0
5,2026091304,13,13,1.0,True,complete,3353.1948926236937,257.93806866336104,12705.974463118471,122,20,7,2.4530000000086147,12.91089004304596,18.439043046697144,6.368489662674254,1.0,1.0,1.0,7,0,,lookahead=0,lookahead,0.0
1,2026091300,11,11,1.0,True,complete,3326.854914712498,302.4413558829544,12404.27457356249,125,27,16,4.782000000006519,15.595322897761735,19.066153995534386,12.752522019270602,1.0,1.0,1.0,20,4,,lookahead=0.5,lookahead,0.5
2,2026091301,14,14,1.0,True,complete,3632.885343899561,259.4918102785401,14184.426719497807,115,29,15,3.8289999999979045,13.7629388784465,19.2511084266486,5.726386559252505,1.0,1.0,1.0,19,4,,lookahead=0.5,lookahead,0.5
3,2026091302,15,15,1.0,True,complete,3299.2120200476697,219.947468003178,12796.060100238348,106,27,12,3.9219999999913853,13.291935309216587,19.504653489724415,8.738711052082001,1.0,1.0,1.0,16,4,,lookahead=0.5,lookahead,0.5
4,2026091303,11,11,1.0,True,complete,3269.744991383285,297.24954467120773,11328.724956916421,151,28,17,4.328000000008615,14.325049843879468,19.448698666754318,7.606216956410418,1.0,1.0,1.0,19,2,,lookahead=0.5,lookahead,0.5
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.4059999999881256,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,lookahead=0.5,lookahead,0.5
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.2960000000020955,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,lookahead=1,lookahead,1.0
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,3.812999999994645,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,,lookahead=1,lookahead,1.0
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.062000000005355,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,lookahead=1,lookahead,1.0
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,3.2189999999827705,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,,lookahead=1,lookahead,1.0
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.5,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,lookahead=1,lookahead,1.0
1,2026091300,11,11,1.0,True,complete,3291.0272182007056,299.1842925637005,12360.136091003533,129,11,0,2.7189999999827705,13.181174445629267,18.90719610795162,3.429211204960562,1.0,1.0,1.0,0,0,,max_probes=0,max_probes,0
2,2026091301,14,14,1.0,True,complete,3613.80913207462,258.1292237196157,14204.045660373104,119,14,0,2.7030000000086147,13.406631623855203,18.415343280931772,3.9347776605641416,1.0,1.0,1.0,0,0,,max_probes=0,max_probes,0
3,2026091302,15,15,1.0,True,complete,3284.027874542004,218.93519163613362,12800.139372710022,110,15,0,2.76500000001397,12.144131736809815,19.005431761651433,4.314825822075665,1.0,1.0,1.0,0,0,,max_probes=0,max_probes,0
4,2026091303,11,11,1.0,True,complete,3231.1618555947534,293.7419868722503,11335.809277973765,153,11,0,2.514999999984866,12.84057293828409,19.15404711871868,5.850450732594771,1.0,1.0,1.0,0,0,,max_probes=0,max_probes,0
5,2026091304,13,13,1.0,True,complete,3336.372240381601,256.6440184908924,12726.861201908005,122,13,0,1.75,13.011151107934856,18.65279921292569,6.412762658823906,1.0,1.0,1.0,0,0,,max_probes=0,max_probes,0
1,2026091300,11,11,1.0,True,complete,3317.670790238579,301.6064354762344,12373.353951192894,128,21,10,4.280999999988126,14.731139544111805,18.736014896741764,4.951727647314349,1.0,1.0,1.0,11,1,,max_probes=2,max_probes,2
2,2026091301,14,14,1.0,True,complete,3628.7841799378957,259.198869995564,14183.920899689476,117,24,10,4.078000000008615,13.548597560291075,18.979546677395565,4.322446664636398,1.0,1.0,1.0,12,2,,max_probes=2,max_probes,2
3,2026091302,15,15,1.0,True,complete,3300.569556332802,220.03797042218682,12797.847781664012,108,24,9,4.280999999988126,12.936315101995534,19.0754356572447,5.08155074004158,1.0,1.0,1.0,11,2,,max_probes=2,max_probes,2
4,2026091303,11,11,1.0,True,complete,3243.660262592379,294.87820569021625,11348.301312961894,152,16,5,3.8439999999827705,12.033194728652324,19.32192858810199,6.118402768589237,1.0,1.0,1.0,5,0,,max_probes=2,max_probes,2
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.577999999979511,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_probes=2,max_probes,2
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.796999999991385,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,max_probes=5,max_probes,5
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,4.157000000006519,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,,max_probes=5,max_probes,5
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.342999999993481,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,max_probes=5,max_probes,5
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,4.687999999994645,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,,max_probes=5,max_probes,5
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,3.6560000000172295,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_probes=5,max_probes,5
1,2026091300,11,11,1.0,True,complete,3321.0159382766174,301.9105398433289,12395.079691383087,126,24,13,4.64100000000326,15.113408770869889,19.073833792757473,9.36036875842326,1.0,1.0,1.0,16,3,,max_probes=8,max_probes,8
2,2026091301,14,14,1.0,True,complete,3636.1314929075456,259.7236780648247,14185.65746453773,115,30,16,4.25,13.741041115791472,19.2511084266486,5.701196705614564,1.0,1.0,1.0,20,4,,max_probes=8,max_probes,8
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.437999999994645,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,max_probes=8,max_probes,8
4,2026091303,11,11,1.0,True,complete,3267.90575865155,297.08234169559546,11334.528793257752,152,25,14,4.094000000011874,13.524106997169865,19.487906498235443,7.2659988747087105,1.0,1.0,1.0,15,1,,max_probes=8,max_probes,8
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.562999999994645,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_probes=8,max_probes,8
1,2026091300,11,11,1.0,True,complete,3316.5654425607872,301.5059493237079,12387.827212803937,126,23,12,4.687000000005355,15.676258266458392,19.527188420966418,9.094153026501765,1.0,1.0,1.0,15,3,,max_detour_m=0,max_detour_m,0.0
2,2026091301,14,14,1.0,True,complete,3648.503705794305,260.60740755673606,14217.518528971523,117,28,14,3.687999999994645,13.512654888814282,18.515747442940476,5.403774438627761,1.0,1.0,1.0,16,2,,max_detour_m=0,max_detour_m,0.0
3,2026091302,15,15,1.0,True,complete,3302.2945934252284,220.15297289501524,12796.47296712614,106,28,13,4.157000000006519,13.545751396728312,19.24523040835278,8.580431654657476,1.0,1.0,1.0,17,4,,max_detour_m=0,max_detour_m,0.0
4,2026091303,11,11,1.0,True,complete,3266.7903629241073,296.98094208400977,11348.951814620532,153,22,11,3.625,13.324504622260559,19.331997141779052,6.0407426366325305,1.0,1.0,1.0,11,0,,max_detour_m=0,max_detour_m,0.0
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.437000000005355,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_detour_m=0,max_detour_m,0.0
1,2026091300,11,11,1.0,True,complete,3316.5654425607872,301.5059493237079,12387.827212803937,126,23,12,4.375,15.676258266458392,19.527188420966418,9.094153026501765,1.0,1.0,1.0,15,3,,max_detour_m=2.5,max_detour_m,2.5
2,2026091301,14,14,1.0,True,complete,3648.6436314055277,260.617402243252,14218.21815702764,117,28,14,4.062999999994645,13.510885041670923,18.515747442940476,5.416191900021528,1.0,1.0,1.0,16,2,,max_detour_m=2.5,max_detour_m,2.5
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.546999999991385,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,max_detour_m=2.5,max_detour_m,2.5
4,2026091303,11,11,1.0,True,complete,3274.679678040516,297.69815254913783,11368.398390202576,152,25,14,4.047000000020489,12.113552857169077,19.331997141779052,7.4666235511566645,1.0,1.0,1.0,15,1,,max_detour_m=2.5,max_detour_m,2.5
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.562000000005355,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_detour_m=2.5,max_detour_m,2.5
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.609000000025844,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,max_detour_m=5,max_detour_m,5.0
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,3.797000000020489,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,,max_detour_m=5,max_detour_m,5.0
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.078000000008615,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,max_detour_m=5,max_detour_m,5.0
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,2.7969999999913853,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,,max_detour_m=5,max_detour_m,5.0
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.4219999999913853,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_detour_m=5,max_detour_m,5.0
1,2026091300,11,11,1.0,True,complete,3264.693584945825,296.7903259041659,12258.467924729124,124,18,7,3.609000000025844,13.602753607374943,19.099989605625968,14.934158216981967,1.0,1.0,1.0,12,5,,max_detour_m=10,max_detour_m,10.0
2,2026091301,14,14,1.0,True,complete,3611.674290900239,257.9767350643028,14158.371454501192,114,26,12,3.7039999999979045,13.413426568849514,18.326906662985152,6.093422227621543,1.0,1.0,1.0,17,5,,max_detour_m=10,max_detour_m,10.0
3,2026091302,15,15,1.0,True,complete,3306.18526285596,220.412350857064,12765.926314279794,105,33,18,4.812999999994645,13.521072218135455,19.504653489724415,8.610729558252606,1.0,1.0,1.0,23,5,,max_detour_m=10,max_detour_m,10.0
4,2026091303,11,11,1.0,True,complete,3257.1240228790502,296.10218389809546,11335.62011439525,151,23,12,3.8440000000118744,13.609230348870144,19.487906498235443,9.714797571011658,1.0,1.0,1.0,14,2,,max_detour_m=10,max_detour_m,10.0
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.5940000000118744,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,max_detour_m=10,max_detour_m,10.0
1,2026091300,11,11,1.0,True,complete,3695.6018623501927,335.9638056681993,14463.009311750971,121,23,12,5.672000000020489,14.474271113133723,18.68841963527929,3.8012211762277555,1.0,1.0,1.0,15,3,,layout_ring_points=6,layout_ring_points,6
2,2026091301,14,14,1.0,True,complete,3930.6947634371454,280.76391167408184,15953.47381718572,105,33,19,6.655999999988126,12.929742583317509,19.03190868383448,3.3342703818330235,1.0,1.0,1.0,19,0,,layout_ring_points=6,layout_ring_points,6
3,2026091302,15,15,1.0,True,complete,3598.6250711432704,239.90833807621803,14608.125355716338,94,31,16,5.7189999999827705,14.67414444724427,19.848439658824525,5.105098612098074,1.0,1.0,1.0,23,7,,layout_ring_points=6,layout_ring_points,6
4,2026091303,11,11,1.0,True,complete,3423.254794541721,311.2049813219746,13056.273972708608,123,20,9,4.157000000006519,15.712195771670958,19.813916790862997,5.81856917126045,1.0,1.0,1.0,15,6,,layout_ring_points=6,layout_ring_points,6
5,2026091304,13,13,1.0,True,complete,3634.2119286079446,279.55476373907265,14516.059643039724,103,33,20,6.4210000000020955,15.49300311429608,18.969719414159098,11.273640162316802,1.0,1.0,1.0,28,8,,layout_ring_points=6,layout_ring_points,6
1,2026091300,11,11,1.0,True,complete,3236.1957131268505,294.1996102842591,12375.978565634254,112,25,14,4.390999999974156,15.904258472998173,19.66811027201488,12.295367093499793,1.0,1.0,1.0,19,5,,layout_ring_points=7,layout_ring_points,7
2,2026091301,14,14,1.0,True,complete,3826.92157180793,273.35154084342355,15419.60785903965,107,27,13,4.282000000006519,14.965827620015657,19.575972667976064,6.881549484188331,1.0,1.0,1.0,20,7,,layout_ring_points=7,layout_ring_points,7
3,2026091302,15,15,1.0,True,complete,3052.4292639461983,203.4952842630799,11817.146319730988,98,26,11,3.7809999999881256,14.340518455760266,19.065574396609406,8.535213872603816,1.0,1.0,1.0,16,5,,layout_ring_points=7,layout_ring_points,7
