x_star_m,y_star_m,L_star_m,beta_star_deg,J_star_m,success,trial,epsilon_w,p_w,J0_m
865.2736393573954,501.29983945061076,1000.0,30.086034011127218,1615.1476308637912,True,23,0.18888888888888888,2.0,1580.6884324035905
865.1882515318795,501.44719503773206,1000.0,30.09579192981213,1613.55287372553,True,24,0.19292929292929295,2.0,1580.685752259069
865.1044434901039,501.59176812790486,1000.0,30.10536652710728,1611.9904735920775,True,25,0.19696969696969696,2.0,1580.683244697992
865.0221594544204,501.7336580824644,1000.0,30.114764331313634,1610.4594553505856,True,26,0.20101010101010103,2.0,1580.6809010809372
864.9413667360254,501.8729242635196,1000.0,30.12398922451552,1608.9588826885933,True,27,0.20505050505050504,2.0,1580.6787138415375
864.8620136559535,502.00965860725154,1000.0,30.133047249124353,1607.4878561827795,True,28,0.2090909090909091,2.0,1580.6766752594265
864.7840788710108,502.14390062134316,1000.0,30.14194097698992,1606.0455114996055,True,29,0.21313131313131314,2.0,1580.6747787448396
864.7075140276211,502.2757362088791,1000.0,30.150676055867233,1604.6310177002804,True,30,0.21717171717171718,2.0,1580.673017342741
864.6322823202537,502.4052312323879,1000.0,30.159256808263958,1603.2435756430625,True,31,0.22121212121212122,2.0,1580.6713847125864
864.5583567542922,502.53243454161054,1000.0,30.167686431442245,1601.8824164764335,True,32,0.22525252525252526,2.0,1580.6698750078115
864.4856945520764,502.65742202300555,1000.0,30.175969916363314,1600.546800217169,True,33,0.2292929292929293,2.0,1580.6684823304329
864.4142689811847,502.7802418370516,1000.0,30.184110418557786,1599.2360144077797,True,34,0.23333333333333334,2.0,1580.6672013715918
864.344049719203,502.90094821446496,1000.0,30.192111497598212,1597.9493728482014,True,35,0.23737373737373738,2.0,1580.6660269882645
864.2750027652212,503.019601601346,1000.0,30.199977126838814,1596.686214396983,True,36,0.24141414141414141,2.0,1580.6649542164116
864.2071011717775,503.13625021883803,1000.0,30.207710470959597,1595.44590183757,True,37,0.24545454545454545,2.0,1580.663978433031
864.1403172820272,503.25094341463216,1000.0,30.215314770856786,1594.2278208055993,True,38,0.2494949494949495,2.0,1580.663095210102
864.074622131952,503.3637326899153,1000.0,30.22279341172663,1593.031378773406,True,39,0.2535353535353535,2.0,1580.662300305548
864.0099914472929,503.4746614073531,1000.0,30.230149240575876,1591.856004088208,True,40,0.25757575757575757,2.0,1580.6615897269887
863.9464019199605,503.583771193586,1000.0,30.237384990587174,1590.7011450606979,True,41,0.26161616161616164,2.0,1580.6609596654814
863.8838199906543,503.69112118276905,1000.0,30.244504557342115,1589.5662691009763,True,42,0.2656565656565657,2.0,1580.6604063921045
863.8222254789326,503.7967474772183,1000.0,30.25151031030093,1588.4508618989873,True,43,0.2696969696969697,2.0,1580.6599264783551
863.7615978016853,503.9006868055248,1000.0,30.258404661532925,1587.3544266467989,True,44,0.2737373737373737,2.0,1580.659516635198
863.7019148777987,504.00297840035,1000.0,30.265190190272932,1586.2764833002655,True,45,0.2777777777777778,2.0,1580.6591737054412
863.6431546264312,504.10366142977614,1000.0,30.2718694725426,1585.2165678777571,True,46,0.28181818181818186,2.0,1580.658894673639
863.5852899256826,504.2027836337032,1000.0,30.27844565411573,1584.1742317938044,True,47,0.28585858585858587,2.0,1580.6586766455268
863.5283046305053,504.3003738864024,1000.0,30.284920630183255,1583.1490412256474,True,48,0.2898989898989899,2.0,1580.658516905473
863.4721840030069,504.39645860481363,1000.0,30.291296133689162,1582.1405765108118,True,49,0.29393939393939394,2.0,1580.6584128469983
