trial,epsilon_w,beta_from_epsilon_deg,p_w,beta_from_p_deg,tau,candidate_area_m2
72,0.2974971288694509,30.29682545081701,1.9670270075172192,30.292264819329645,0.052188794630414065,30570.061531358693
73,0.3082263647289262,30.31306995904995,2.013513048386668,30.304113674534772,0.052497182338855926,30830.955233786117
74,0.313753932028921,30.321201330776287,2.0915683904517905,30.323789781335122,0.05118652712643631,29768.608394431787
75,0.3116518627895003,30.318124641164793,2.087262444851569,30.322711276251315,0.04965661726904426,28549.84017293471
76,0.3036280639560015,30.306184621156543,1.914779195169047,30.278854893615968,0.050457096410174006,29185.326452835245
77,0.2898082293800421,30.284775181316704,2.070662731252,30.31855067709133,0.04755115951078335,26871.673918515487
78,0.3134118624993499,30.32070066136526,1.933564731026449,30.28368607871809,0.04804224661506357,27266.509309303747
79,0.28570897286015323,30.27820214326049,2.062286574500647,30.316442347721644,0.049154997190852444,28152.301188817964
80,0.29393128369262583,30.29128333622975,1.9592694435696398,30.29027857629399,0.049556343442443127,28470.372151430856
81,0.29344840479301787,30.2905213836907,2.0435668714565796,30.311723760890402,0.0512797441617849,29843.148459931916
82,0.3051547794516811,30.308486805822902,2.0437586410055055,30.311772216303094,0.048353648882941275,27516.877594396574
83,0.29962089198217534,30.30008755194309,2.070110251951271,30.318411614706225,0.048080523680479555,27297.284175819328
84,0.2877866564627234,30.281535496342755,2.095925169770299,30.32487689393494,0.0509873196665432,29609.31415113153
85,0.2853857366323479,30.277676042379536,1.9550961705726002,30.289210053432654,0.05194016059993482,30371.243827618404
86,0.30312947240320914,30.30543277850422,2.025661691734878,30.30719507913889,0.051898336261487876,30337.799415707246
87,0.2997444999702278,30.300276753398336,2.047852159127407,30.31280654688929,0.051209581005157045,29787.04319686301
88,0.303041463640212,30.305300067186852,1.9159258675151212,30.279149938837843,0.05241783650042336,30763.38211618632
89,0.30192071591596603,30.303607793975466,2.03259226755377,30.308950750450474,0.05011046053295389,28909.515548635827
90,0.3117137732489904,30.31821525629011,1.9643031030616496,30.291567392110068,0.0513723438648774,29917.194881897554
91,0.3125519057361179,30.31944198729775,1.9322938085321901,30.283359788746044,0.04958588717194046,28493.78585578999
92,0.29064771483307095,30.286102071047694,2.009894311566952,30.303195631760836,0.049266278303082944,28240.492595483665
93,0.313263626084116,30.32048369542035,1.9923767194155135,30.29873721562666,0.05205411046082983,30462.362688705132
94,0.3086317987896835,30.31367223001733,2.015415966591981,30.304596334264836,0.049653535018724014,28547.39745838963
95,0.30417078756668897,30.307003011995,2.0283835180806715,30.30788544826021,0.05123235518479369,29805.254340732572
96,0.3047882180247285,30.30793405575336,1.9997337722697004,30.300609664925716,0.04998511307850209,28810.176423527413
97,0.30138180689701927,30.302782909012645,2.0810301414878274,30.321149211858536,0.04806106462034159,27281.63903762087
98,0.3125178989892852,30.319392213387957,1.9355828396782009,30.28420419734337,0.0481343803895328,27340.585118931598
99,0.29199789618600414,30.28823257232013,1.957758329801885,30.28989167143345,0.050050612931635007,28862.085719439405
100,0.3029794797680874,30.305206599661062,1.971244328236017,30.29334352146332,0.05103838948950185,29650.15162181682
