试验序号,基础权重_epsilon_w,epsilon对应_J0_米,epsilon对应_J0相对基准变化_pct,形状参数_p_w,p对应_J0_米,p对应_J0相对基准变化_pct
48,0.2898989898989899,1580.658516905473,1.0198366662272917e-05,1.9494949494949496,1580.6584637741666,6.837026345074548e-06
49,0.2939393939393939,1580.6584128469983,3.6151303506315458e-06,1.9696969696969695,1580.6583944928625,2.4539600351758395e-06
50,0.297979797979798,1580.6583619559806,3.95521415619271e-07,1.98989898989899,1580.658359999872,2.7176862982258854e-07
51,0.302020202020202,1580.6583618601885,3.8946115221705213e-07,2.0101010101010104,1580.6583599844723,2.7079438691401947e-07
52,0.306060606060606,1580.658410284196,3.4529952230855088e-06,2.0303030303030303,1580.6583940904068,2.428498757645059e-06
53,0.3101010101010101,1580.6585050493013,9.448288573743469e-06,2.0505050505050506,1580.6584619199843,6.719721912240573e-06
54,0.3141414141414141,1580.6586440805916,1.824407229733538e-05,2.070707070707071,1580.6585630695758,1.3118928365862814e-05
55,0.3181818181818182,1580.6588253885552,2.9714480365150564e-05,2.090909090909091,1580.658697079323,2.1597025279262994e-05
56,0.3222222222222222,1580.6590470854603,4.374008586438549e-05,2.111111111111111,1580.658863473099,3.212389059203957e-05
57,0.3262626262626262,1580.6593073740323,6.020718459343044e-05,2.1313131313131315,1580.659061758989,4.466840339834022e-05
58,0.3303030303030303,1580.659604453733,7.900186591580649e-05,2.1515151515151514,1580.659291421449,5.919794796582778e-05
59,0.3343434343434344,1580.6599367293838,0.00010002321120250457,2.171717171717172,1580.6595519200057,7.567833131272295e-05
60,0.3383838383838384,1580.660302608702,0.0001231704850557236,2.191919191919192,1580.6598427203362,9.407574967923438e-05
61,0.3424242424242424,1580.6607005383366,0.0001483454150408292,2.212121212121212,1580.6601632251422,0.00011435241507040672
62,0.3464646464646465,1580.6611290483147,0.00017545500370363953,2.2323232323232327,1580.660512857661,0.00013647183876308588
63,0.3505050505050505,1580.661586828697,0.00020441637795798329,2.2525252525252526,1580.6608910555683,0.00016039844541460013
64,0.3545454545454545,1580.6620725026823,0.00023514243483457875,2.272727272727273,1580.6612971832496,0.00018609202303565553
65,0.3585858585858585,1580.6625846947925,0.0002675461549861424,2.2929292929292933,1580.6617305643529,0.00021350978232081985
66,0.3626262626262626,1580.663122361906,0.0003015615455792542,2.313131313131313,1580.6621907171418,0.00024262124636020843
67,0.3666666666666667,1580.663684277649,0.0003371110203209682,2.333333333333333,1580.6626769228849,0.0002733809447708069
68,0.3707070707070707,1580.664269209202,0.00037411658517783053,2.353535353535354,1580.6631885917968,0.00030575156491075006
69,0.3747474747474747,1580.6648761739193,0.00041251607327819073,2.3737373737373737,1580.6637250002698,0.0003396873278882495
70,0.3787878787878788,1580.6655041426832,0.00045224437772439785,2.393939393939394,1580.6642856750482,0.0003751582932753905
71,0.3828282828282828,1580.666152112849,0.0004932380664346425,2.4141414141414144,1580.6648697807882,0.00041211161325716006
72,0.3868686868686869,1580.6668191549109,0.0005354383344036151,2.4343434343434343,1580.665476912057,0.00045052163821779345
73,0.3909090909090909,1580.66750421911,0.0005787787689115476,2.4545454545454546,1580.6661061870927,0.0004903325836691508
74,0.3949494949494949,1580.6682067209713,0.0006232223932034486,2.474747474747475,1580.6667571095986,0.0005315130515048949
75,0.398989898989899,1580.6689255775582,0.0006687006956163088,2.494949494949495,1580.6674290478816,0.000574023077826169
76,0.403030303030303,1580.6696600818084,0.0007151689439544029,2.515151515151516,1580.6681213127722,0.0006178190624650526
77,0.407070707070707,1580.6704095386815,0.0007625831666802085,2.5353535353535355,1580.6688332229696,0.0006628579030776294
78,0.4111111111111111,1580.6711730544505,0.0008108868223111187,2.555555555555556,1580.6695643739408,0.000709114006958167
79,0.4151515151515151,1580.6719500264846,0.0008600417855886278,2.575757575757576,1580.6703138761904,0.0007565311004098518
80,0.4191919191919192,1580.672739647629,0.0009099969920045581,2.595959595959596,1580.6710814142998,0.0008050892285282885
81,0.4232323232323232,1580.6735415056692,0.0009607263629085594,2.6161616161616164,1580.6718660538352,0.0008547292745575419
82,0.4272727272727272,1580.6743547801234,0.0010121779907334982,2.6363636363636367,1580.6726674302795,0.0009054281774112383
83,0.4313131313131313,1580.675178851241,0.0010643126670650815,2.656565656565657,1580.6734848333404,0.0009571410006126158
84,0.4353535353535354,1580.676013286244,0.0011171030122936187,2.676767676767677,1580.6743177110277,0.0010098328226293418
85,0.4393939393939394,1580.67685748884,0.0011705113021287517,2.696969696969697,1580.6751654799991,0.0010634667384046281
86,0.4434343434343434,1580.677710889171,0.001224501484653473,2.717171717171717,1580.6760276563398,0.0011180121332055037
87,0.4474747474747474,1580.678573005603,0.0012790430893527827,2.737373737373737,1580.6769033980506,0.0011734157381537713
88,0.4515151515151515,1580.6794432783286,0.0013341007001343996,2.757575757575758,1580.6777924950695,0.0012296642637021904
89,0.4555555555555556,1580.6803213505086,0.0013896517417011367,2.7777777777777777,1580.6786940896204,0.0012867034428154511
90,0.4595959595959595,1580.6812067093504,0.0014456637722926047,2.7979797979797985,1580.679607959464,0.0013445192156069652
91,0.4636363636363636,1580.6820988747909,0.001502106420847582,2.8181818181818183,1580.6805333189166,0.0014030618759708346
92,0.4676767676767677,1580.682997455894,0.0015589549548611359,2.8383838383838382,1580.6814697163672,0.0014623028528282234
93,0.4717171717171717,1580.6839021920418,0.0016161928864111275,2.858585858585859,1580.682416701511,0.0015222136577452972
94,0.4757575757575757,1580.6848125443598,0.0016737861237459128,2.878787878787879,1580.6833736709016,0.0015827561137937707
